"","Dimension","lambda","ESS","ESS.sec","AR"
"1",12,0.001,1.50552319934893,1.57276352891033,0.9993
"2",12,0.0622040816326531,7.08141228727875,7.88191557998027,0.905
"3",12,0.123408163265306,19.0941717551175,21.4183887256937,0.8277
"4",12,0.184612244897959,46.2184971101655,53.7706936311422,0.7495
"5",12,0.245816326530612,81.8232060081833,89.6763523002214,0.6787
"6",12,0.307020408163265,104.298870410762,108.387582155006,0.6077
"7",12,0.368224489795918,148.961966373374,165.2507070876,0.5352
"8",12,0.429428571428571,154.684707814844,160.585907908532,0.4764
"9",12,0.490632653061224,183.483047641924,188.145478620297,0.4119
"10",12,0.551836734693878,218.106498737379,234.177660237955,0.3525
"11",12,0.613040816326531,212.545020333937,243.045547256045,0.3141
"12",12,0.674244897959184,207.318785524883,233.86921394584,0.2666
"13",12,0.735448979591837,206.860815537319,211.900643966583,0.2333
"14",12,0.79665306122449,208.077086197653,237.660112566227,0.1872
"15",12,0.857857142857143,185.336177515144,210.969131394558,0.1655
"16",12,0.919061224489796,180.759399713932,209.566394976372,0.1401
"17",12,0.980265306122449,183.849684833799,212.168190266768,0.1184
"18",12,1.0414693877551,159.191645307894,180.577019051504,0.0953
"19",12,1.10267346938776,139.52334217012,152.088281434888,0.0813
"20",12,1.16387755102041,119.374146453404,136.973172269093,0.0677
"21",12,1.22508163265306,124.738392912739,117.239179182926,0.0605
"22",12,1.28628571428571,90.8224622673388,99.1080921940249,0.0458
"23",12,1.34748979591837,78.5059162864559,87.4776253312705,0.0409
"24",12,1.40869387755102,73.7787019337948,80.9508649100839,0.0338
"25",12,1.46989795918367,57.1550956199417,60.9118994787866,0.0237
"26",12,1.53110204081633,35.6142552347836,38.9052485860881,0.014
"27",12,1.59230612244898,30.6867498557795,28.2846196423295,0.017
"28",12,1.65351020408163,34.5856033896183,38.7954873927538,0.0155
"29",12,1.71471428571429,26.9526130591715,31.1759235270969,0.0089
"30",12,1.77591836734694,14.0645884096053,16.1196705369041,0.0096
"31",12,1.83712244897959,13.0707741578677,14.8950310773054,0.0068
"32",12,1.89832653061224,26.34285205597,30.6472937082065,0.009
"33",12,1.9595306122449,16.6337387149123,19.3960460106711,0.0051
"34",12,2.02073469387755,5.08107199837169,5.36374004931923,0.0025
"35",12,2.0819387755102,8.83025150173115,9.66747380292994,0.0044
"36",12,2.14314285714286,6.57504375970144,7.02206794791091,0.0036
"37",12,2.20434693877551,5.13348288915816,5.49425253915522,0.0021
"38",12,2.26555102040816,7.29594089728882,8.08478868468121,0.0024
"39",12,2.32675510204082,4.58455702990739,5.28445025708206,1e-04
"40",12,2.38795918367347,5.29389054751949,6.02592567337151,0.0026
"41",12,2.44916326530612,9001,10495.764850841,0
"42",12,2.51036734693878,5.64971929231061,6.58798704195963,0.0013
"43",12,2.57157142857143,2.14133600999695,2.44861490799217,0.0012
"44",12,2.63277551020408,1.9577229344506,2.27760873945013,1e-04
"45",12,2.69397959183673,4.24285242923285,4.93040752350558,0.0018
"46",12,2.75518367346939,1.83662569207356,2.12685669697914,4e-04
"47",12,2.81638775510204,3.57470656026889,4.13005876478476,4e-04
"48",12,2.87759183673469,3.91089417620132,4.49759596542024,1e-04
"49",12,2.93879591836735,1.47546664953352,1.6681516420721,2e-04
"50",12,3,2.06773993603015,2.38074881992408,3e-04
"51",12,NA,1.18509898282226,1.29037808053979,0.9986
"52",12,NA,6.46887860354748,7.59612825588489,0.9157
"53",12,NA,22.4185486977817,25.9605516659665,0.8345
"54",12,NA,49.6596637460641,57.2408048725902,0.7596
"55",12,NA,75.6887472641962,85.4779536890976,0.6742
"56",12,NA,115.47206311102,134.339650788925,0.6055
"57",12,NA,137.287912791013,151.628971025964,0.5364
"58",12,NA,168.234448200627,196.865618027954,0.475
"59",12,NA,175.563810436308,204.013961425237,0.4113
"60",12,NA,191.332481483708,220.795427196998,0.3603
"61",12,NA,196.652673246554,225.386018065046,0.3102
"62",12,NA,212.573854656676,247.595238948434,0.2737
"63",12,NA,196.230063095737,225.15175333432,0.2227
"64",12,NA,206.975367307663,239.398301219332,0.1976
"65",12,NA,200.212369356796,231.042458810738,0.1577
"66",12,NA,179.596473643624,208.458359034307,0.1364
"67",12,NA,172.95353633094,198.67844606865,0.1148
"68",12,NA,151.530481870271,175.882242669574,0.0961
"69",12,NA,149.067638810125,161.788232746689,0.0831
"70",12,NA,132.187326071421,153.07111394976,0.07
"71",12,NA,119.571648080973,136.730208528524,0.0543
"72",12,NA,89.7993300252759,103.750197055277,0.041
"73",12,NA,85.4230615664741,97.124091743282,0.0408
"74",12,NA,56.1531377251899,64.3558765640796,0.0259
"75",12,NA,66.2731424879162,76.8346922199262,0.0288
"76",12,NA,27.2390284821989,31.5423872472408,0.0154
"77",12,NA,35.0533092974723,37.2373138946812,0.017
"78",12,NA,44.467209121794,51.3738589048164,0.0175
"79",12,NA,24.9681506376521,28.5176235240971,0.0114
"80",12,NA,47.1149759134821,52.036593553209,0.0193
"81",12,NA,14.9090094237204,17.1850856636266,0.0064
"82",12,NA,8.44429106291429,9.81269013751472,0.0026
"83",12,NA,14.6339595483149,16.829348193493,0.0056
"84",12,NA,10.1901691269553,11.9379435299576,0.0034
"85",12,NA,10.5572378760911,12.2250829295299,0.0045
"86",12,NA,9.23652630652004,10.8460589173377,0.0034
"87",12,NA,4.3201730070777,4.77672236334381,0.0012
"88",12,NA,1.79577725455328,2.11863087416788,7e-04
"89",12,NA,9.22235967966886,10.7538700162258,0.0037
"90",12,NA,2.71127102592795,3.1579509088867,0.0013
"91",12,NA,3.79097476337949,4.43082559675396,0.0012
"92",12,NA,1.80592801685426,2.09851331877844,1e-04
"93",12,NA,4.29653968576387,5.02758563656079,0.0012
"94",12,NA,2.03136263385027,2.36878168970314,2e-04
"95",12,NA,5.28990065272957,6.0834856117803,0.0017
"96",12,NA,3.58004717273998,4.20895304776366,7e-04
"97",12,NA,1.69755091579564,1.96120598988369,3e-04
"98",12,NA,1.27918526652896,1.46274188253595,5e-04
"99",12,NA,9001,10040.4246129019,0
"100",12,NA,9001,9974.15910600427,0
"101",12,NA,1.55912753108206,1.71443492079322,0.9989
"102",12,NA,5.50507641620448,5.92990630086068,0.9206
"103",12,NA,23.5372711723161,26.446496510133,0.8371
"104",12,NA,46.1080470916071,53.5084842347552,0.7518
"105",12,NA,70.2805464856426,82.3228097430004,0.6792
"106",12,NA,103.945742410474,121.609944794708,0.6016
"107",12,NA,135.210940875337,155.645823027363,0.535
"108",12,NA,162.475314987263,187.24633454158,0.4828
"109",12,NA,180.669947277355,207.262110786327,0.4132
"110",12,NA,204.72176310787,236.485287825925,0.3605
"111",12,NA,198.030374674163,217.480335541305,0.3156
"112",12,NA,206.357590937431,240.872108224448,0.2651
"113",12,NA,204.676345199394,236.971777137639,0.2264
"114",12,NA,212.738311083035,241.561919743188,0.1915
"115",12,NA,200.668794922986,229.417030160051,0.1554
"116",12,NA,196.902260273122,225.375295647049,0.1464
"117",12,NA,173.111516231838,200.896273458348,0.1065
"118",12,NA,152.368647150661,177.02892167182,0.0918
"119",12,NA,122.76421536476,140.837948167892,0.0786
"120",12,NA,103.312584797097,118.387040084805,0.0568
"121",12,NA,89.5505984678534,103.564067955927,0.0546
"122",12,NA,96.6307797972486,112.270096687931,0.0477
"123",12,NA,86.1699953149682,98.6304928342067,0.0392
"124",12,NA,71.1340065946293,81.6065781382799,0.0291
"125",12,NA,56.8097579165667,62.8715843792663,0.0264
