"","Dimension","lambda","ESS","ESS.sec","AR"
"1",1,0.001,7.86703205788171,8.92287599013235,1
"2",1,0.205061224489796,98.1987039983454,106.79112560706,0.9318
"3",1,0.409122448979592,353.545652148762,402.359967067847,0.8742
"4",1,0.613183673469388,638.871313781304,726.285784297315,0.8088
"5",1,0.817244897959184,1015.93676922699,1185.82086096234,0.7653
"6",1,1.02130612244898,1325.28701689233,1424.21125134886,0.7042
"7",1,1.22536734693878,1518.19180536783,1858.67083697118,0.6485
"8",1,1.42942857142857,1956.38872303724,2392.13528658318,0.611
"9",1,1.63348979591837,2020.85088398782,2467.94704671497,0.5628
"10",1,1.83755102040816,2157.13494876321,2644.13724637531,0.5339
"11",1,2.04161224489796,2145.86815098502,2627.02632540351,0.4906
"12",1,2.24567346938776,2282.65566803786,2822.04835461446,0.4582
"13",1,2.44973469387755,2162.88950971862,2667.40531127,0.4357
"14",1,2.65379591836735,2170.60002809574,2654.06485037823,0.4124
"15",1,2.85785714285714,2094.09133593268,2554.36799820731,0.3914
"16",1,3.06191836734694,2254.42447798346,2773.56372073179,0.375
"17",1,3.26597959183673,2112.87668867264,2586.63431887014,0.3439
"18",1,3.47004081632653,2229.25779504397,2725.78367989965,0.3298
"19",1,3.67410204081633,2049.92722740148,2537.45691440776,0.3166
"20",1,3.87816326530612,1932.52760370344,2360.08230065971,0.3063
"21",1,4.08222448979592,1874.20604161401,2253.1847729015,0.2998
"22",1,4.28628571428572,1897.98897775517,2329.25267264251,0.2872
"23",1,4.49034693877551,1700.69868724127,2082.10479594031,0.2611
"24",1,4.69440816326531,1712.69332974302,2099.28270577381,0.2555
"25",1,4.8984693877551,1682.49373079417,2069.93059598178,0.2437
"26",1,5.1025306122449,1631.29417505964,1994.63473869124,0.2342
"27",1,5.30659183673469,1404.32630767524,1715.02162337285,0.2257
"28",1,5.51065306122449,1321.70595194791,1620.04349654225,0.2192
"29",1,5.71471428571429,1485.42163274446,1829.6549395162,0.2121
"30",1,5.91877551020408,1330.74431800114,1629.18522322979,0.2039
"31",1,6.12283673469388,1367.68166844858,1672.36495736653,0.2034
"32",1,6.32689795918367,1265.66506312483,1517.94788387797,0.1882
"33",1,6.53095918367347,1163.13955106927,1340.51845325804,0.19
"34",1,6.73502040816327,1313.22565067914,1486.15812321851,0.1856
"35",1,6.93908163265306,1353.82473290542,1582.10336264532,0.183
"36",1,7.14314285714286,1184.82381932025,1447.00873143679,0.1711
"37",1,7.34720408163265,1161.27146204759,1324.65560368293,0.1639
"38",1,7.55126530612245,1097.57739414671,1319.51476525396,0.1631
"39",1,7.75532653061225,1040.3623153102,1283.08184008003,0.1625
"40",1,7.95938775510204,1085.36951229563,1328.85097203732,0.1557
"41",1,8.16344897959184,1093.05139886092,1338.13817664419,0.1579
"42",1,8.36751020408163,993.137819755553,1220.2913655362,0.1553
"43",1,8.57157142857143,1038.2706864373,1269.56992428528,0.1473
"44",1,8.77563265306122,1086.4600169337,1284.62782821494,0.1461
"45",1,8.97969387755102,935.019374544796,1071.42451319973,0.136
"46",1,9.18375510204082,951.575035786417,1037.08696966847,0.1333
"47",1,9.38781632653061,741.754425342969,804.041044578082,0.131
"48",1,9.59187755102041,840.708441284477,945.018888150972,0.1237
"49",1,9.7959387755102,913.157548785668,1021.87371854304,0.1216
"50",1,10,918.735676451493,1107.17325385402,0.1285
"51",1,0.001,2.4488111281138,2.87166980315354,0.9994
"52",1,0.205061224489796,90.2991177931884,110.415372057843,0.9324
"53",1,0.409122448979592,316.109969719279,381.873487124088,0.8751
"54",1,0.613183673469388,653.456053285675,800.954244302252,0.8168
"55",1,0.817244897959184,1043.07444576204,1269.2079771644,0.7526
"56",1,1.02130612244898,1187.2447048965,1434.19282628603,0.6962
"57",1,1.22536734693878,1483.19912247755,1614.73002399235,0.6398
"58",1,1.42942857142857,1803.83943871732,2211.06177276811,0.6091
"59",1,1.63348979591837,2131.80902151096,2619.49657782418,0.5663
"60",1,1.83755102040816,2221.41091190901,2729.57883144622,0.5272
"61",1,2.04161224489796,2252.18006356116,2747.204279893,0.4898
"62",1,2.24567346938776,2204.84280634027,2692.64170537359,0.4562
"63",1,2.44973469387755,2358.94373096597,2860.0405171726,0.4414
"64",1,2.65379591836735,2347.57596171188,2870.45502677395,0.4153
"65",1,2.85785714285714,2231.00714424738,2711.48510480242,0.3892
"66",1,3.06191836734694,2074.93103640466,2537.08349412211,0.3704
"67",1,3.26597959183673,1927.30717480429,2342.37579156817,0.3423
"68",1,3.47004081632653,2189.18865855888,2588.49528944926,0.3329
"69",1,3.67410204081633,1996.87215970647,2435.78026122414,0.3199
"70",1,3.87816326530612,1937.36234663405,2366.00115475528,0.2986
"71",1,4.08222448979592,1799.57572792669,2189.7926082131,0.2918
"72",1,4.28628571428572,1844.62749145713,2239.16884766351,0.2786
"73",1,4.49034693877551,1809.4691331786,2193.84420557788,0.2693
"74",1,4.69440816326531,1778.35531864116,2156.04752126947,0.2569
"75",1,4.8984693877551,1725.25018394372,2079.09025877951,0.2448
"76",1,5.1025306122449,1593.47732195845,1972.51572985713,0.2403
"77",1,5.30659183673469,1350.08359117082,1650.84601281578,0.2212
"78",1,5.51065306122449,1477.35501258567,1804.27087802893,0.2236
"79",1,5.71471428571429,1421.17011812936,1720.98013989139,0.2106
"80",1,5.91877551020408,1467.81803565622,1799.19774662466,0.2093
"81",1,6.12283673469388,1476.31694069835,1747.60676846694,0.2012
"82",1,6.32689795918367,1384.06863682995,1694.46788716508,0.2032
"83",1,6.53095918367347,1214.0125566218,1454.27301376322,0.1878
"84",1,6.73502040816327,1297.49578430908,1586.54120261723,0.18
"85",1,6.93908163265306,1154.49430580809,1284.77597273644,0.1778
"86",1,7.14314285714286,1110.99798783408,1366.83386068399,0.1715
"87",1,7.34720408163265,1105.02442546715,1364.50731972437,0.1709
"88",1,7.55126530612245,1137.58209671923,1411.62477340522,0.1556
"89",1,7.75532653061225,1229.85933075479,1543.3648914739,0.1672
"90",1,7.95938775510204,1039.59543432357,1298.06340088185,0.1539
"91",1,8.16344897959184,913.602401255124,1111.66572507675,0.156
"92",1,8.36751020408163,1011.60608146801,1227.93824628017,0.1496
"93",1,8.57157142857143,1014.71509974225,1230.22178027057,0.1412
"94",1,8.77563265306122,951.013117732481,1158.59484067667,0.1428
"95",1,8.97969387755102,818.25465641824,987.262215090187,0.1429
"96",1,9.18375510204082,1091.30867221637,1332.76079736895,0.1403
"97",1,9.38781632653061,947.840461708443,1149.14121909059,0.1347
"98",1,9.59187755102041,851.996085749751,1041.79827111202,0.1267
"99",1,9.7959387755102,935.905599895198,1125.19089432099,0.1286
"100",1,10,1008.08524057109,1231.11664754717,0.1215
"101",1,0.001,3.80784193474111,4.62778414194985,0.9994
"102",1,0.205061224489796,94.5298166816475,114.058613474871,0.9349
"103",1,0.409122448979592,307.381086222254,370.869438242018,0.8701
"104",1,0.613183673469388,612.953837917419,744.932921706542,0.8114
"105",1,0.817244897959184,955.987470682019,1157.66123282802,0.7574
"106",1,1.02130612244898,1344.7338339738,1586.2704424709,0.6989
"107",1,1.22536734693878,1561.98686630804,1907.56269145755,0.6494
"108",1,1.42942857142857,1827.56172866315,2248.32702142333,0.6039
"109",1,1.63348979591837,2124.48707644139,2545.00284115866,0.5666
"110",1,1.83755102040816,1938.2379820663,2316.37180128402,0.5195
"111",1,2.04161224489796,2240.88007698152,2395.31043574471,0.4839
"112",1,2.24567346938776,2207.30545259213,2514.94677439201,0.4556
"113",1,2.44973469387755,2285.67980870291,2696.15623528418,0.4294
"114",1,2.65379591836735,2176.79920782496,2598.35962514174,0.412
"115",1,2.85785714285714,2166.21567008902,2661.77433220799,0.3967
"116",1,3.06191836734694,2325.25658572089,2829.35037795392,0.3717
"117",1,3.26597959183673,2080.70938055268,2566.13808122887,0.3438
"118",1,3.47004081632653,1890.90623144134,2312.16426471825,0.328
"119",1,3.67410204081633,2053.82633414972,2523.5963968764,0.3135
"120",1,3.87816326530612,1908.86579969495,2322.78094962897,0.3013
"121",1,4.08222448979592,1992.50084224444,2445.32336591926,0.2955
"122",1,4.28628571428572,1808.64387729041,2070.18493822049,0.2778
"123",1,4.49034693877551,1797.1855414724,2105.13068926935,0.265
"124",1,4.69440816326531,1641.69354791685,1954.9066460897,0.2556
"125",1,4.8984693877551,1716.09790321135,1989.23343674864,0.2526
"126",1,5.1025306122449,1667.24631389868,1914.84724442751,0.2411
"127",1,5.30659183673469,1651.81923835831,2017.34134459777,0.2325
"128",1,5.51065306122449,1243.80047630321,1530.21753915183,0.2129
"129",1,5.71471428571429,1348.25793602207,1662.80990701476,0.2122
"130",1,5.91877551020408,1450.92463365981,1771.99186412574,0.2019
"131",1,6.12283673469388,1357.79606125176,1662.29696393931,0.1986
"132",1,6.32689795918367,1298.24476402449,1593.23514316322,0.1924
"133",1,6.53095918367347,1253.83472198381,1533.10497125754,0.1874
"134",1,6.73502040816327,1184.80267971175,1448.74705806789,0.1802
"135",1,6.93908163265306,1246.34236425164,1516.59532133453,0.1749
"136",1,7.14314285714286,1281.70326691844,1550.21782921735,0.175
"137",1,7.34720408163265,1247.71946802894,1538.8119415068,0.1709
"138",1,7.55126530612245,1138.57544106439,1390.52259100449,0.154
"139",1,7.75532653061225,1090.07737746895,1149.30937724886,0.1549
"140",1,7.95938775510204,1096.83449474111,1362.78471849017,0.1507
"141",1,8.16344897959184,1076.99477449456,1343.12894134961,0.1532
"142",1,8.36751020408163,1034.24984196884,1224.33942728961,0.155
"143",1,8.57157142857143,893.097748456406,1077.60014715661,0.1386
"144",1,8.77563265306122,1024.68565502491,1246.87635386285,0.1394
"145",1,8.97969387755102,856.095850732804,1062.3566740559,0.1322
"146",1,9.18375510204082,839.962770176562,1054.07881157757,0.1359
"147",1,9.38781632653061,1017.40463698697,1267.23634441098,0.1389
"148",1,9.59187755102041,938.840695937871,1184.08917732696,0.1324
"149",1,9.7959387755102,1053.44902921102,1257.4606857661,0.1265
"150",1,10,900.850003204893,1090.89204334372,0.124
"151",1,0.001,9.15702654476885,11.2518652298765,0.9991
"152",1,0.205061224489796,114.382780363083,139.012127789262,0.9382
"153",1,0.409122448979592,381.494193964328,473.408885646647,0.8795
"154",1,0.613183673469388,569.77939644179,711.433651391887,0.8067
"155",1,0.817244897959184,1110.61352900786,1362.96828070479,0.7554
"156",1,1.02130612244898,1342.84473419456,1645.94365689601,0.7004
"157",1,1.22536734693878,1402.40085355257,1714.82065799386,0.649
"158",1,1.42942857142857,1862.19827750715,2271.4307105232,0.6028
"159",1,1.63348979591837,2005.85144599075,2461.62668191799,0.5692
"160",1,1.83755102040816,2193.08984866348,2714.66358145763,0.5259
"161",1,2.04161224489796,2039.35099863956,2515.1337628887,0.4868
"162",1,2.24567346938776,2112.40966623863,2586.06257880505,0.4638
"163",1,2.44973469387755,2189.795119727,2680.89204116886,0.4377
"164",1,2.65379591836735,2209.02915916369,2704.34647942813,0.4127
"165",1,2.85785714285714,2115.2490295575,2589.54161879938,0.3853
"166",1,3.06191836734694,2152.88395583478,2626.08616134082,0.3707
"167",1,3.26597959183673,2076.84399838296,2308.59738681339,0.3438
"168",1,3.47004081632653,1976.29110397104,2416.55647222754,0.3334
"169",1,3.67410204081633,1976.73433945633,2431.84411222381,0.3084
"170",1,3.87816326530612,1911.1143743504,2354.00373396238,0.3033
"171",1,4.08222448979592,1975.70552065826,2436.63041284765,0.2927
"172",1,4.28628571428572,1823.20491625372,2245.72178318666,0.2834
"173",1,4.49034693877551,1726.3677928331,2121.30377522607,0.2641
"174",1,4.69440816326531,1773.25847956114,2162.95325423889,0.2565
"175",1,4.8984693877551,1427.99802793888,1743.9919543668,0.2441
"176",1,5.1025306122449,1587.10734214216,1945.34943162626,0.2364
"177",1,5.30659183673469,1533.55602645721,1891.27121872747,0.2285
"178",1,5.51065306122449,1266.91201829702,1556.68586743781,0.218
"179",1,5.71471428571429,1322.82006903248,1625.39336450642,0.2091
"180",1,5.91877551020408,1491.16618181032,1773.60775715558,0.2118
"181",1,6.12283673469388,1525.94089783862,1847.8021464145,0.1986
"182",1,6.32689795918367,1272.28280496328,1567.13642260782,0.199
"183",1,6.53095918367347,1212.22966740914,1498.73183583733,0.1936
"184",1,6.73502040816327,1333.16303724675,1652.27476902517,0.1877
"185",1,6.93908163265306,1369.88313411777,1631.2907868989,0.1833
"186",1,7.14314285714286,1137.09736029142,1378.64278804076,0.1732
"187",1,7.34720408163265,1273.19733822911,1545.52496722343,0.1754
"188",1,7.55126530612245,1096.96017395751,1361.25451387745,0.1604
"189",1,7.75532653061225,1163.14455091471,1380.18241314129,0.168
"190",1,7.95938775510204,1292.66168399985,1432.17566852469,0.1625
"191",1,8.16344897959184,1150.15072476345,1355.14005839539,0.1539
"192",1,8.36751020408163,926.793339814231,1102.31087747428,0.1428
