"","Dimension","L","Stepsize","ESS","ESS.L","AR"
"1",500,1,2.5,0,0,0
"2",500,2,1.25,0,0,0
"3",500,3,0.833333333333333,0,0,0
"4",500,4,0.625,0,0,0
"5",500,5,0.5,24.0142906755354,4.80285813510709,0.0236
"6",500,6,0.416666666666667,192.917996515262,32.1529994192103,0.1817
"7",500,7,0.357142857142857,798.964399030073,114.13777129001,0.3684
"8",500,8,0.3125,1343.82180445902,167.977725557377,0.5095
"9",500,9,0.277777777777778,1668.91133110677,185.434592345197,0.5988
"10",500,10,0.25,2056.72724670289,205.672724670289,0.6724
"11",500,11,0.227272727272727,2475.57556088602,225.052323716911,0.7215
"12",500,12,0.208333333333333,2961.49636736236,246.791363946863,0.7792
"13",500,13,0.192307692307692,3064.8600736215,235.758467201654,0.8104
"14",500,14,0.178571428571429,3005.14506356377,214.653218825983,0.8341
"15",500,15,0.166666666666667,3393.93939377004,226.262626251336,0.8559
"16",500,16,0.15625,3819.85721755231,238.741076097019,0.8771
"17",500,17,0.147058823529412,3734.65969014683,219.685864126284,0.8889
"18",500,18,0.138888888888889,3971.58203818857,220.643446566032,0.9022
"19",500,19,0.131578947368421,3588.02177086524,188.843251098171,0.9089
"20",500,20,0.125,4111.16212856085,205.558106428043,0.9182
"21",500,21,0.119047619047619,3495.0181410513,166.429435288157,0.9309
"22",500,22,0.113636363636364,4168.64579894499,189.483899952045,0.9339
"23",500,23,0.108695652173913,4138.15068514781,179.919595006427,0.9413
"24",500,24,0.104166666666667,4261.0141638907,177.542256828779,0.9457
"25",500,25,0.1,3914.54591815298,156.581836726119,0.951
"26",500,26,0.0961538461538462,4188.17038874313,161.08347649012,0.9523
"27",500,27,0.0925925925925926,3976.66313348716,147.283819758784,0.9558
"28",500,28,0.0892857142857143,4333.31729854759,154.761332090985,0.961
"29",500,29,0.0862068965517241,4288.39200198974,147.875586275508,0.9629
"30",500,30,0.0833333333333333,4222.65959102166,140.755319700722,0.9648
"31",500,1,2.5,0,0,0
"32",500,2,1.25,0,0,0
"33",500,3,0.833333333333333,0,0,0
"34",500,4,0.625,0,0,0
"35",500,5,0.5,12.8471348114115,2.56942696228229,0.0191
"36",500,6,0.416666666666667,272.713651186715,45.4522751977858,0.1961
"37",500,7,0.357142857142857,640.038982835354,91.4341404050505,0.3521
"38",500,8,0.3125,1137.88760528285,142.235950660356,0.5112
"39",500,9,0.277777777777778,1700.15960368588,188.906622631764,0.6113
"40",500,10,0.25,1437.23738648437,143.723738648437,0.6761
"41",500,11,0.227272727272727,2528.11061888498,229.828238080453,0.7338
"42",500,12,0.208333333333333,2944.17347028349,245.347789190291,0.7865
"43",500,13,0.192307692307692,3122.71777759805,240.209059815235,0.8143
"44",500,14,0.178571428571429,3442.39654033249,245.885467166607,0.8367
"45",500,15,0.166666666666667,3595.18550085706,239.67903339047,0.8619
"46",500,16,0.15625,3728.63561220506,233.039725762816,0.8775
"47",500,17,0.147058823529412,3804.79924242462,223.811720142625,0.8952
"48",500,18,0.138888888888889,3889.25793945389,216.069885525216,0.9036
"49",500,19,0.131578947368421,3781.69088306123,199.03636226638,0.9134
