"","Dimension","lambda","ESS","ESS.sec","AR"
"1",2,0.001,3.31171023844086,5.68912823996734,0.9996
"2",2,0.158842105263158,58.5910995997067,107.662627565109,0.9243
"3",2,0.316684210526316,158.8008555083,312.819954951292,0.836
"4",2,0.474526315789474,318.352357967768,610.838162688232,0.7683
"5",2,0.632368421052632,485.865775430607,933.854195420747,0.6967
"6",2,0.790210526315789,699.76202579272,1358.56848045708,0.635
"7",2,0.948052631578947,702.348575170993,1350.74036852895,0.569
"8",2,1.10589473684211,1020.49700313053,1953.54541734427,0.5154
"9",2,1.26373684210526,1079.76010734042,2100.85189162508,0.4627
"10",2,1.42157894736842,1112.90708579244,2142.01014113318,0.418
"11",2,1.57942105263158,1064.80861725164,2090.38914572852,0.377
"12",2,1.73726315789474,1265.32334058338,2447.32464275805,0.3457
"13",2,1.89510526315789,1240.32266369605,2203.0748625192,0.3109
"14",2,2.05294736842105,1046.45096885009,2093.02768990551,0.2833
"15",2,2.21078947368421,1058.8395376419,1971.7202961156,0.2607
"16",2,2.36863157894737,1059.93741526546,2037.26799792941,0.2316
"17",2,2.52647368421053,886.421658142112,1727.84033380462,0.2101
"18",2,2.68431578947368,1032.7572125548,2020.39081695691,0.2049
"19",2,2.84215789473684,895.043713028668,1793.63509373656,0.1822
"20",2,3,893.464784664144,1725.1018592045,0.1698
"21",2,NA,1.23428181085738,2.40122318145534,0.999
"22",2,NA,61.9362469285431,117.021353914163,0.9244
"23",2,NA,170.117162467873,325.307262942637,0.8435
"24",2,NA,308.945844720487,581.630475867833,0.7679
"25",2,NA,481.843017190353,932.140456160978,0.697
"26",2,NA,679.407411511352,1298.68102280211,0.6375
"27",2,NA,866.048753639278,1661.97242618028,0.5674
"28",2,NA,959.469026651863,1699.59155301172,0.5227
"29",2,NA,963.982110860386,1867.37897771198,0.4636
"30",2,NA,1158.37859805313,2153.56819673211,0.4181
"31",2,NA,1169.74329903984,2241.11139651235,0.3795
"32",2,NA,1224.89001003416,2386.06742152024,0.3447
"33",2,NA,1178.90653837146,2239.79399386116,0.3105
"34",2,NA,1172.27537398267,2294.71837331743,0.2838
"35",2,NA,1089.47471506262,2156.46601952037,0.2467
"36",2,NA,878.862157589525,1658.53423239288,0.2407
"37",2,NA,1080.13132186507,2072.96994907895,0.2142
"38",2,NA,916.939428137717,1770.72096458613,0.1921
"39",2,NA,924.169526137887,1790.42963874907,0.1788
"40",2,NA,869.516888511852,1665.65191818608,0.1602
"41",2,NA,1.41748582209016,2.66544892383744,0.9996
"42",2,NA,52.430468119172,102.287354420713,0.9218
"43",2,NA,163.585939407119,280.424595718583,0.8415
"44",2,NA,342.43752926694,665.806189348046,0.7711
"45",2,NA,495.705156350669,960.173734228375,0.6965
"46",2,NA,724.156982657356,1377.16431927091,0.6345
"47",2,NA,887.009712721672,1745.61466487339,0.5681
"48",2,NA,1045.24377452537,1920.09827402695,0.52
"49",2,NA,1128.38785162952,2256.14420079957,0.4665
"50",2,NA,1162.99054259838,2259.28685853221,0.4087
"51",2,NA,1191.99122663961,2244.21350658618,0.3868
"52",2,NA,1143.17156225641,2155.99167257582,0.3446
