"","Dimension","lambda","ESS","ESS.sec","AR"
"1",50,0.001,0.986940938981116,0.943730485618617,0.9982
"2",50,0.158842105263158,24.2057017722765,24.3448824171417,0.5741
"3",50,0.316684210526316,48.8067475157314,51.7852188952679,0.2664
"4",50,0.474526315789474,36.7682060935295,38.4528582854301,0.1043
"5",50,0.632368421052632,20.434903308409,21.5628343945094,0.0327
"6",50,0.790210526315789,2.88034790093555,3.00115681570422,0.0051
"7",50,0.948052631578947,1.75351296051069,1.85797177923357,0.003
"8",50,1.10589473684211,9001,9240.48617192089,2e-04
"9",50,1.26373684210526,9001,9844.13069487649,0
"10",50,1.42157894736842,9001,9236.41008826386,0
"11",50,1.57942105263158,9001,9692.4385859021,0
"12",50,1.73726315789474,9001,9434.36684418559,0
"13",50,1.89510526315789,9001,9656.92820049245,0
"14",50,2.05294736842105,9001,9546.88085355387,0
"15",50,2.21078947368421,9001,9755.17327822282,0
"16",50,2.36863157894737,9001,9494.35370072498,0
"17",50,2.52647368421053,9001,9582.28060476122,0
"18",50,2.68431578947368,9001,9682.52262174667,0
"19",50,2.84215789473684,9001,9447.85521653804,0
"20",50,3,9001,9475.21671564534,0
"21",50,NA,1.22487592972209,1.29761506943774,0.9976
"22",50,NA,23.3481321976271,24.8487731987813,0.5805
"23",50,NA,44.4003585266607,47.3353433877463,0.2745
"24",50,NA,32.8578572684092,34.0499746192099,0.0919
"25",50,NA,14.9856372068846,16.3046855122354,0.027
"26",50,NA,5.45675817964173,5.80916500858889,0.0073
"27",50,NA,1.38677399750947,1.45361571976517,8e-04
"28",50,NA,9001,9179.57956266285,0
"29",50,NA,9001,9220.54923928435,0
"30",50,NA,9001,9092.28696835624,0
"31",50,NA,9001,9444.98101493517,0
"32",50,NA,9001,9471.43706649586,0
"33",50,NA,9001,9729.10860037985,0
"34",50,NA,9001,9880.50368180495,0
"35",50,NA,9001,9489.27061801901,0
"36",50,NA,9001,9540.38385098849,0
"37",50,NA,9001,9908.77295448276,0
"38",50,NA,9001,9616.51556213532,0
"39",50,NA,9001,9380.84991705736,0
"40",50,NA,9001,9620.12018840212,0
"41",50,NA,1.34682633201448,1.42495969592622,0.9976
"42",50,NA,24.0001712087132,21.5297798068708,0.5906
"43",50,NA,42.9725556079221,42.3825472180875,0.2624
"44",50,NA,37.8418306822074,38.6732263431162,0.1042
"45",50,NA,15.9124375231542,16.4022238938633,0.029
"46",50,NA,5.54233925269164,5.90334020269153,0.0067
"47",50,NA,1.41240529337491,1.49904063125692,9e-04
"48",50,NA,0.957072695264516,1.02175686117985,7e-04
"49",50,NA,9001,9585.16841522113,0
"50",50,NA,9001,9438.22549733087,0
"51",50,NA,9001,9497.08123990305,0
"52",50,NA,9001,9532.6438809974,0
"53",50,NA,9001,9846.99358860498,0
"54",50,NA,9001,9537.63379541582,0
"55",50,NA,9001,9789.84717458416,0
"56",50,NA,9001,9180.53495968173,0
"57",50,NA,9001,8917.96306950652,0
"58",50,NA,9001,9157.97784838913,0
"59",50,NA,9001,9410.81416891885,0
"60",50,NA,9001,9254.08099131336,0
"61",50,NA,0.78851977016061,0.810768077054106,0.9978
"62",50,NA,23.3144641436268,23.316003977912,0.5774
"63",50,NA,50.315182945096,47.4785721697571,0.2688
"64",50,NA,37.6161736314116,38.6459291492887,0.1054
"65",50,NA,16.1097065581845,17.0843178361483,0.0267
"66",50,NA,9.06566783524814,8.88311961532799,0.0123
"67",50,NA,1.3890006260695,1.2894547982795,0.0011
"68",50,NA,9001,9123.67781682865,0
"69",50,NA,9001,9771.07951410834,0
"70",50,NA,9001,9612.44859432352,0
"71",50,NA,9001,9524.0730463669,0
"72",50,NA,9001,9618.69369781149,0
